"","datetime","city","country","shape"
"486",2020-10-30,"phoenix","us","sphere"
"487",2020-10-30,"blue island","us","circle"
"488",2020-10-30,"truth or consequences","us","unknown"
"489",2020-10-14,"saginaw","us","chevron"
"490",2020-10-23,"hamilton (canada)","ca","cylinder"
"491",2020-10-14,"ankeny","us","circle"
"492",2020-10-14,"palm beach gardens","us","light"
"493",2020-01-30,"pickering (canada)","ca","circle"
"494",2020-10-14,"kalamazoo","us","fireball"
"495",2020-10-14,"lawrence","us","unknown"
"496",2020-10-14,"rittman","us","light"
"497",2020-10-14,"north cincinnati",NA,"fireball"
"498",2020-10-14,"winterhaven","us","light"
"499",2020-10-14,"essex junction","us","light"
"500",2020-10-14,"beaverdam (canada)","ca","changing"
"501",2020-02-21,"cincinnati","us","circle"
"502",2020-10-14,"cincinnati","us","fireball"
"503",2020-10-14,"naples","us","light"
"504",2020-10-23,"saginaw","us","unknown"
"505",2020-10-14,"bonaie",NA,"light"
"506",2020-10-14,"cincinnati","us","fireball"
"507",2020-10-23,"union","us","fireball"
"508",2020-10-14,"hubbardston","us","fireball"
"509",2020-10-14,"covington","us","light"
"510",2020-10-14,"drexel","us","sphere"
"511",2020-10-14,"fayetteville","us","chevron"
"512",2020-10-14,"jupiter","us","light"
"513",2020-10-14,"melbourne","us","sphere"
"514",2020-10-14,"dresser","us","sphere"
"515",2020-10-14,"lombard","us","formation"
"516",2020-10-14,"windsor (canada)","ca","light"
"517",2020-10-14,"shelby township",NA,"changing"
"518",2020-10-14,"north canton","us","fireball"
"519",2020-10-14,"pinckney","us","fireball"
"520",2020-04-16,"pikeville","us","disk"
"521",2020-12-07,"fukuoka (japan)",NA,"disk"
"522",2020-10-31,"kansas city","us","disk"
"523",2020-04-12,"flatwoods","us","circle"
"524",2020-03-19,"mono lake (area)",NA,"circle"
"525",2020-04-16,"newport","us","rectangle"
"526",2020-12-07,"nelchina (near)","us","unknown"
"527",2020-08-05,"martelle","us","cigar"
"528",2020-04-16,"paterson","us","disk"
"529",2019-01-28,"northeast cape afs",NA,NA
"530",2020-11-08,"new york city (manhattan)","us","other"
"531",2020-04-16,"jacksonville","us","unknown"
"532",2020-08-05,"duluth",NA,NA
"533",2019-11-19,"toledo","us","sphere"
"534",2020-04-27,"tulsa","us","disk"
"535",2020-08-05,"nashville","us","disk"
"536",2020-05-14,"graham","us","triangle"
"537",2019-06-02,"desert",NA,"disk"
"538",2019-11-17,"biloxi","us","other"
"539",2020-04-01,"colonial heights","us","sphere"
"540",2020-04-16,"dushore","us","disk"
"541",2020-08-05,"edmonton (30 mi. east of&#44 hwy 16 east) (canada)","ca","diamond"
"542",2020-01-11,"buffalo","us","light"
"543",2020-04-15,"anacortes","us","light"
"544",2020-09-17,"anamosa","us","unknown"
"545",2019-12-16,"corvallis","us","disk"
"546",2020-08-05,"chaffee","us","sphere"
"547",2020-02-24,"greenville","us","circle"
"548",2020-02-18,"hudson&#39s hope (canada)",NA,"sphere"
"549",2020-04-16,"minneapolis","us","disk"
"550",2020-12-16,"boston","us","cigar"
"551",2020-07-13,"lima (peru)",NA,"circle"
"552",2020-03-19,"kennebunkport","us","circle"
"553",2019-08-30,"san francisco","us","oval"
"554",2020-06-04,"viet nam",NA,"light"
"555",2020-10-11,"kingston (canada)","ca","sphere"
"556",2020-01-21,"new york city (brooklyn)","us","disk"
"557",2020-12-07,"bentonville","us","other"
"558",2020-08-11,"summit lake indian reservation",NA,"oval"
"559",2020-08-20,"tampa","us","other"
"560",2020-02-18,"new york city (brooklyn)","us","disk"
"561",2020-07-08,"indian ocean (usn vessel)",NA,"light"
"562",2020-01-17,"pasadena","us","disk"
"563",2019-05-24,"potwin","us","unknown"
"564",2020-01-31,"denton","us","unknown"
"565",2020-04-09,"mosheim","us","disk"
"566",2020-01-03,"monroe","us","rectangle"
"567",2020-08-05,"pickens/pumpkintown",NA,"chevron"
"568",2020-01-10,"sweet home","us","unknown"
"569",2020-09-02,"montezuma","us","sphere"
"570",2020-10-10,"virginia beach","us","disk"
"571",2020-07-03,"bloomington","us","light"
"572",2020-07-30,"north st. paul",NA,"triangle"
"573",2020-08-12,"roseburg","us","cylinder"
"574",2020-10-10,"beatty","us","disk"
"575",2020-04-16,"hixson","us","oval"
"576",2020-01-11,"valley city","us","disk"
"577",2020-06-12,"denton","us","unknown"
"578",2020-01-07,"weirton","us","sphere"
"579",2020-08-07,"ankara (turkey)",NA,"changing"
"580",2020-12-07,"deerwood","us","unknown"
"581",2020-12-07,"chester","us","light"
"582",2020-03-27,"waterloo (belgium)",NA,"sphere"
"583",2020-02-16,"kincheloe air force base&#44 michigan",NA,"triangle"
"584",2020-01-21,"maricopa","us","changing"
"585",2020-01-11,"hartville","us","disk"
"586",2020-03-02,"fairport","us","disk"
"587",2020-10-30,"thonotosassa","us","disk"
"588",2020-07-13,"iselton",NA,"light"
"589",2019-08-30,"fountain valley","us","other"
"590",2020-04-16,"ferndale","us","other"
"591",2020-08-28,"windsor","us","cone"
"592",2020-12-23,"lecompte","us","disk"
"593",2020-07-16,"francesville","us","cylinder"
"594",2020-05-28,"morden&#44 surrey (uk/england)",NA,"circle"
"595",2020-07-05,"lomita","us","disk"
"596",2020-02-04,"columbia","us","rectangle"
"597",2020-04-16,"buffalo","us","light"
